Step 1: min=110.5923841096905, average=112.19522684605043, max=112.5
Step 2: min=122.76486059376133, average=124.65831637872792, max=125.0
Step 3: min=135.17944013112933, average=137.14864173312418, max=137.5
Step 4: min=147.63204754377895, average=149.64214124353398, max=150.0
Step 5: min=160.08478359859208, average=162.13506851007418, max=162.5
Step 6: min=172.536730105959, average=174.62781072976085, max=175.0
Step 7: min=184.98800561079565, average=187.12044321055993, max=187.5
Step 8: min=197.43860838510548, average=199.61297236489744, max=200.0
Step 9: min=209.90056663957003, average=212.10732274930737, max=212.5
Step 10: min=222.36496291047894, average=224.60197614611252, max=225.0
Step 11: min=234.82936228428468, average=237.09660172967207, max=237.5
Step 12: min=247.29333535108734, average=249.59115577929077, max=250.0
Step 13: min=259.7567964934233, average=262.0856306986786, max=262.5
Step 14: min=272.2197204697972, average=274.5800238457097, max=275.0
Step 15: min=284.68209270100596, average=287.074333257271, max=287.5
Step 16: min=297.1439003041156, average=299.5685570267076, max=300.0
Step 17: min=309.59018093585286, average=312.060255309936, max=312.5
Step 18: min=322.03118283650656, average=324.5512611951697, max=325.0
Step 19: min=334.4697389922056, average=337.04193631607546, max=337.5
Step 20: min=346.9063197494062, average=349.532321347994, max=350.0
Step 21: min=359.34094902180567, average=362.02241169488383, max=362.5
Step 22: min=371.77356013026855, average=374.5121951540367, max=375.0
Step 23: min=384.20406385130053, average=387.00165757113393, max=387.5
Step 24: min=396.6323615570191, average=399.4907836944562, max=400.0
