Time (s),Inner Temp (°C),Outer Temp (°C)
10.0,100.208333,100.0
20.0,100.416667,100.0
30.0,100.625,100.0
40.0,100.833333,100.0
50.0,101.041667,100.0
60.0,101.25,100.0
70.0,101.458333,100.0
80.0,101.666667,100.0
90.0,101.875,100.0
100.0,102.083333,100.0
110.0,102.291667,100.0
120.0,102.5,100.000001
130.0,102.708333,100.000001
140.0,102.916667,100.000002
150.0,103.125,100.000003
160.0,103.333333,100.000004
170.0,103.541667,100.000006
180.0,103.75,100.000009
190.0,103.958333,100.000013
200.0,104.166667,100.000018
210.0,104.375,100.000025
220.0,104.583333,100.000033
230.0,104.791667,100.000043
240.0,105.0,100.000057
250.0,105.208333,100.000073
260.0,105.416667,100.000093
270.0,105.625,100.000117
280.0,105.833333,100.000146
290.0,106.041667,100.000181
300.0,106.25,100.000223
310.0,106.458333,100.000271
320.0,106.666667,100.000328
330.0,106.875,100.000394
340.0,107.083333,100.00047
350.0,107.291667,100.000558
360.0,107.5,100.000658
370.0,107.708333,100.000772
380.0,107.916667,100.000901
390.0,108.125,100.001046
400.0,108.333333,100.001209
410.0,108.541667,100.001392
420.0,108.75,100.001595
430.0,108.958333,100.001821
440.0,109.166667,100.002071
450.0,109.375,100.002347
460.0,109.583333,100.002651
470.0,109.791667,100.002984
480.0,110.0,100.003348
490.0,110.208333,100.003745
500.0,110.416667,100.004177
510.0,110.625,100.004646
520.0,110.833333,100.005154
530.0,111.041667,100.005703
540.0,111.25,100.006295
550.0,111.458333,100.006932
560.0,111.666667,100.007616
570.0,111.875,100.008349
580.0,112.083333,100.009134
590.0,112.291667,100.009973
600.0,112.5,100.010867
610.0,112.708333,100.011819
620.0,112.916667,100.012832
630.0,113.125,100.013906
640.0,113.333333,100.015045
650.0,113.541667,100.016251
660.0,113.75,100.017526
670.0,113.958333,100.018872
680.0,114.166667,100.020292
690.0,114.375,100.021787
700.0,114.583333,100.023359
710.0,114.791667,100.025012
720.0,115.0,100.026747
730.0,115.208333,100.028567
740.0,115.416667,100.030473
750.0,115.625,100.032467
760.0,115.833333,100.034553
770.0,116.041667,100.036731
780.0,116.25,100.039005
790.0,116.458333,100.041376
800.0,116.666667,100.043846
810.0,116.875,100.046418
820.0,117.083333,100.049093
830.0,117.291667,100.051874
840.0,117.5,100.054762
850.0,117.708333,100.05776
860.0,117.916667,100.060869
870.0,118.125,100.064092
880.0,118.333333,100.06743
890.0,118.541667,100.070886
900.0,118.75,100.07446
910.0,118.958333,100.078156
920.0,119.166667,100.081975
930.0,119.375,100.085918
940.0,119.583333,100.089988
950.0,119.791667,100.094186
